Window to Wall Ratio,Insulation Thickness,Orientation,Air Changes per Hour Bedroom,Air Changes per Hour Bathroom,Air Changes per Hour Kitchen,Shading Bedroom,Shading Bathroom,Shading Kitchen,Electricity:Facility,DistrictCooling:Facility
0.15990588773598682,0.2,270.0,0,5,0,120,120,120,4009230973.5882235,7058312110.717859
0.33886527873239525,0.2,270.0,5,0,5,2000,2000,2000,3739996010.1745157,7436803622.307906
0.351395880467391,0.2,270.0,5,5,5,2000,2000,120,3721657757.6934195,7470101002.776448
0.11729400102527934,0.1,0.0,0,0,5,2000,2000,120,4085876336.558635,7535966393.638026
0.19584728445376287,0.1,0.0,0,0,0,120,120,2000,3971539325.2234907,7732892011.935258
0.24995224825618953,0.1,0.0,0,5,0,120,2000,2000,3898805690.729785,7870960060.177643
0.40182778426045507,0.2,90.0,0,5,0,120,2000,2000,3817965826.0038347,8185020878.077993
0.5162071749809504,0.1,180.0,0,0,5,2000,2000,120,3744400422.492633,8629090143.474808
0.7973820194876917,0.2,270.0,5,5,0,2000,120,2000,3500518413.3298936,8793511343.865871
0.6121343745058595,0.1,180.0,5,0,5,120,120,2000,3675016669.5137634,8958856243.607187
0.7175238543469934,0.1,180.0,5,0,5,2000,120,120,3615025644.9876137,9292380965.011719
0.7551502124329929,0.2,90.0,0,0,0,2000,2000,120,3603018917.272711,9515028471.971102
0.8507151450852102,0.2,0.0,5,5,0,120,120,2000,3521566597.289282,9535987257.554268
0.8959735950405187,0.1,180.0,0,0,0,120,2000,2000,3549322000.9230013,9935605436.731594
0.6398967511028271,1e-05,270.0,5,5,5,120,120,120,3526696570.9193344,10069292454.707464
0.2740446219592889,1e-05,0.0,0,0,5,2000,120,2000,3868435398.703185,10149341797.175568
0.6656537447084461,1e-05,180.0,5,5,5,120,2000,120,3642662695.9644313,10733468259.386265
0.4506805150291586,1e-05,90.0,5,5,0,2000,120,120,3782408159.3259983,10792389060.251099
0.4832634129331477,1e-05,90.0,5,5,5,120,120,120,3765261410.447942,10869016755.320217
0.5425599053870307,1e-05,90.0,0,0,0,2000,2000,2000,3725520392.613005,11042341000.192886
