Time,BLOCK1:BEDROOM:WINTER DESIGN DAY IN MODELLO (O1-O4:3O-O9):Des Heat Load [W],BLOCK1:BEDROOM:SUMMER DESIGN DAY IN MODELLO (O1-O4:3O-O9) JUL:Des Sens Cool Load [W],BLOCK1:BEDROOM:WINTER DESIGN DAY IN MODELLO (O1-O4:3O-O9):Des Heat Mass Flow [kg/s],BLOCK1:BEDROOM:SUMMER DESIGN DAY IN MODELLO (O1-O4:3O-O9) JUL:Des Cool Mass Flow [kg/s],BLOCK1:BATHROOM:WINTER DESIGN DAY IN MODELLO (O1-O4:3O-O9):Des Heat Load [W],BLOCK1:BATHROOM:SUMMER DESIGN DAY IN MODELLO (O1-O4:3O-O9) JUL:Des Sens Cool Load [W],BLOCK1:BATHROOM:WINTER DESIGN DAY IN MODELLO (O1-O4:3O-O9):Des Heat Mass Flow [kg/s],BLOCK1:BATHROOM:SUMMER DESIGN DAY IN MODELLO (O1-O4:3O-O9) JUL:Des Cool Mass Flow [kg/s],BLOCK1:KITCHEN:WINTER DESIGN DAY IN MODELLO (O1-O4:3O-O9):Des Heat Load [W],BLOCK1:KITCHEN:SUMMER DESIGN DAY IN MODELLO (O1-O4:3O-O9) AUG:Des Sens Cool Load [W],BLOCK1:KITCHEN:WINTER DESIGN DAY IN MODELLO (O1-O4:3O-O9):Des Heat Mass Flow [kg/s],BLOCK1:KITCHEN:SUMMER DESIGN DAY IN MODELLO (O1-O4:3O-O9) AUG:Des Cool Mass Flow [kg/s]
00:10:00,4.847251E+02,2.145624E+02,3.124230E-02,1.503943E-02,1.236526E+02,6.079703E+01,7.970294E-03,4.261416E-03,5.063519E+02,2.854863E+02,3.263539E-02,2.001239E-02
00:20:00,4.846784E+02,2.092197E+02,3.123929E-02,1.466493E-02,1.236416E+02,5.901923E+01,7.969582E-03,4.136802E-03,5.063022E+02,2.784397E+02,3.263218E-02,1.951842E-02
00:30:00,4.846320E+02,2.040179E+02,3.123631E-02,1.430031E-02,1.236306E+02,5.729684E+01,7.968875E-03,4.016073E-03,5.062529E+02,2.716328E+02,3.262901E-02,1.904124E-02
00:40:00,4.845861E+02,1.989487E+02,3.123334E-02,1.394499E-02,1.236197E+02,5.562847E+01,7.968173E-03,3.899129E-03,5.062039E+02,2.650521E+02,3.262585E-02,1.857993E-02
00:50:00,4.845404E+02,1.940080E+02,3.123040E-02,1.359867E-02,1.236089E+02,5.401209E+01,7.967478E-03,3.785830E-03,5.061554E+02,2.586842E+02,3.262272E-02,1.813353E-02
01:00:00,4.844952E+02,1.891934E+02,3.122748E-02,1.326119E-02,1.235982E+02,5.244563E+01,7.966787E-03,3.676030E-03,5.061072E+02,2.525184E+02,3.261962E-02,1.770129E-02
01:10:00,4.844984E+02,1.846042E+02,3.122769E-02,1.293950E-02,1.235990E+02,5.095130E+01,7.966837E-03,3.571286E-03,5.061106E+02,2.466466E+02,3.261984E-02,1.728966E-02
01:20:00,4.845017E+02,1.801814E+02,3.122790E-02,1.262949E-02,1.235997E+02,4.951488E+01,7.966887E-03,3.470601E-03,5.061140E+02,2.410086E+02,3.262006E-02,1.689442E-02
01:30:00,4.845049E+02,1.759241E+02,3.122811E-02,1.233106E-02,1.236005E+02,4.813459E+01,7.966936E-03,3.373850E-03,5.061175E+02,2.355967E+02,3.262028E-02,1.651503E-02
01:40:00,4.845081E+02,1.718297E+02,3.122832E-02,1.204407E-02,1.236013E+02,4.680882E+01,7.966985E-03,3.280922E-03,5.061208E+02,2.304043E+02,3.262050E-02,1.615103E-02
01:50:00,4.845112E+02,1.678962E+02,3.122852E-02,1.176834E-02,1.236020E+02,4.553608E+01,7.967033E-03,3.191710E-03,5.061242E+02,2.254250E+02,3.262071E-02,1.580197E-02
02:00:00,4.845144E+02,1.641212E+02,3.122872E-02,1.150374E-02,1.236028E+02,4.431502E+01,7.967081E-03,3.106121E-03,5.061275E+02,2.206529E+02,3.262093E-02,1.546743E-02
02:10:00,4.845175E+02,1.604547E+02,3.122892E-02,1.124673E-02,1.236035E+02,4.313318E+01,7.967129E-03,3.023281E-03,5.061308E+02,2.160365E+02,3.262114E-02,1.514381E-02
02:20:00,4.845206E+02,1.568946E+02,3.122912E-02,1.099718E-02,1.236042E+02,4.198830E+01,7.967176E-03,2.943032E-03,5.061341E+02,2.115660E+02,3.262135E-02,1.483042E-02
02:30:00,4.845237E+02,1.534391E+02,3.122932E-02,1.075496E-02,1.236050E+02,4.088027E+01,7.967223E-03,2.865366E-03,5.061373E+02,2.072394E+02,3.262156E-02,1.452711E-02
02:40:00,4.845267E+02,1.500840E+02,3.122952E-02,1.051978E-02,1.236057E+02,3.980700E+01,7.967270E-03,2.790136E-03,5.061405E+02,2.030497E+02,3.262177E-02,1.423340E-02
02:50:00,4.845297E+02,1.468296E+02,3.122971E-02,1.029167E-02,1.236064E+02,3.876849E+01,7.967316E-03,2.717343E-03,5.061437E+02,1.989977E+02,3.262197E-02,1.394935E-02
03:00:00,4.845327E+02,1.436724E+02,3.122990E-02,1.007036E-02,1.236071E+02,3.776280E+01,7.967362E-03,2.646851E-03,5.061469E+02,1.950737E+02,3.262218E-02,1.367426E-02
03:10:00,4.845357E+02,1.405640E+02,3.123010E-02,9.852480E-03,1.236078E+02,3.677767E+01,7.967407E-03,2.577799E-03,5.061501E+02,1.912279E+02,3.262238E-02,1.340466E-02
