Time,BLOCK1:BEDROOM:WINTER DESIGN DAY IN MODELLO (O1-O4:3O-O9):Des Heat Load [W],BLOCK1:BEDROOM:SUMMER DESIGN DAY IN MODELLO (O1-O4:3O-O9) JUL:Des Sens Cool Load [W],BLOCK1:BEDROOM:WINTER DESIGN DAY IN MODELLO (O1-O4:3O-O9):Des Heat Mass Flow [kg/s],BLOCK1:BEDROOM:SUMMER DESIGN DAY IN MODELLO (O1-O4:3O-O9) JUL:Des Cool Mass Flow [kg/s],BLOCK1:BATHROOM:WINTER DESIGN DAY IN MODELLO (O1-O4:3O-O9):Des Heat Load [W],BLOCK1:BATHROOM:SUMMER DESIGN DAY IN MODELLO (O1-O4:3O-O9) JUL:Des Sens Cool Load [W],BLOCK1:BATHROOM:WINTER DESIGN DAY IN MODELLO (O1-O4:3O-O9):Des Heat Mass Flow [kg/s],BLOCK1:BATHROOM:SUMMER DESIGN DAY IN MODELLO (O1-O4:3O-O9) JUL:Des Cool Mass Flow [kg/s],BLOCK1:KITCHEN:WINTER DESIGN DAY IN MODELLO (O1-O4:3O-O9):Des Heat Load [W],BLOCK1:KITCHEN:SUMMER DESIGN DAY IN MODELLO (O1-O4:3O-O9) AUG:Des Sens Cool Load [W],BLOCK1:KITCHEN:WINTER DESIGN DAY IN MODELLO (O1-O4:3O-O9):Des Heat Mass Flow [kg/s],BLOCK1:KITCHEN:SUMMER DESIGN DAY IN MODELLO (O1-O4:3O-O9) AUG:Des Cool Mass Flow [kg/s]
00:10:00,8.163637E+02,4.253083E+02,5.261641E-02,2.981216E-02,2.091483E+02,1.255670E+02,1.348095E-02,8.801479E-03,8.650792E+02,5.665566E+02,5.575449E-02,3.971686E-02
00:20:00,8.163637E+02,4.183323E+02,5.261641E-02,2.932318E-02,2.091483E+02,1.230793E+02,1.348095E-02,8.627104E-03,8.650792E+02,5.561689E+02,5.575449E-02,3.898865E-02
00:30:00,8.163637E+02,4.113913E+02,5.261641E-02,2.883665E-02,2.091483E+02,1.206319E+02,1.348095E-02,8.455552E-03,8.650792E+02,5.459515E+02,5.575449E-02,3.827237E-02
00:40:00,8.163637E+02,4.044879E+02,5.261641E-02,2.835275E-02,2.091483E+02,1.182237E+02,1.348095E-02,8.286748E-03,8.650792E+02,5.358957E+02,5.575449E-02,3.756741E-02
00:50:00,8.163637E+02,3.976217E+02,5.261641E-02,2.787145E-02,2.091483E+02,1.158531E+02,1.348095E-02,8.120585E-03,8.650792E+02,5.259929E+02,5.575449E-02,3.687318E-02
01:00:00,8.163636E+02,3.907963E+02,5.261641E-02,2.739301E-02,2.091483E+02,1.135193E+02,1.348095E-02,7.956994E-03,8.650792E+02,5.162374E+02,5.575449E-02,3.618928E-02
01:10:00,8.163636E+02,3.840593E+02,5.261641E-02,2.692077E-02,2.091483E+02,1.112321E+02,1.348095E-02,7.796672E-03,8.650792E+02,5.066715E+02,5.575449E-02,3.551866E-02
01:20:00,8.163636E+02,3.774136E+02,5.261641E-02,2.645492E-02,2.091483E+02,1.089907E+02,1.348095E-02,7.639559E-03,8.650792E+02,4.972909E+02,5.575449E-02,3.486103E-02
01:30:00,8.163636E+02,3.708600E+02,5.261641E-02,2.599553E-02,2.091483E+02,1.067940E+02,1.348095E-02,7.485583E-03,8.650792E+02,4.880917E+02,5.575449E-02,3.421612E-02
01:40:00,8.163637E+02,3.644016E+02,5.261641E-02,2.554281E-02,2.091483E+02,1.046414E+02,1.348095E-02,7.334693E-03,8.650792E+02,4.790713E+02,5.575449E-02,3.358375E-02
01:50:00,8.163637E+02,3.580394E+02,5.261641E-02,2.509683E-02,2.091483E+02,1.025319E+02,1.348095E-02,7.186834E-03,8.650792E+02,4.702270E+02,5.575449E-02,3.296372E-02
02:00:00,8.163637E+02,3.517763E+02,5.261641E-02,2.465781E-02,2.091483E+02,1.004652E+02,1.348095E-02,7.041966E-03,8.650792E+02,4.615571E+02,5.575449E-02,3.235591E-02
02:10:00,8.163637E+02,3.455665E+02,5.261641E-02,2.422251E-02,2.091483E+02,9.842936E+01,1.348095E-02,6.899263E-03,8.650792E+02,4.530118E+02,5.575449E-02,3.175684E-02
02:20:00,8.163637E+02,3.394133E+02,5.261641E-02,2.379119E-02,2.091483E+02,9.642401E+01,1.348095E-02,6.758697E-03,8.650792E+02,4.445907E+02,5.575449E-02,3.116649E-02
02:30:00,8.163637E+02,3.333173E+02,5.261641E-02,2.336388E-02,2.091483E+02,9.444859E+01,1.348095E-02,6.620230E-03,8.650792E+02,4.362919E+02,5.575449E-02,3.058470E-02
02:40:00,8.163637E+02,3.272818E+02,5.261641E-02,2.294080E-02,2.091483E+02,9.250288E+01,1.348095E-02,6.483845E-03,8.650792E+02,4.281153E+02,5.575449E-02,3.001147E-02
02:50:00,8.163637E+02,3.213074E+02,5.261641E-02,2.252201E-02,2.091483E+02,9.058641E+01,1.348095E-02,6.349509E-03,8.650792E+02,4.200592E+02,5.575449E-02,2.944671E-02
03:00:00,8.163637E+02,3.153972E+02,5.261641E-02,2.210772E-02,2.091483E+02,8.869903E+01,1.348095E-02,6.217213E-03,8.650792E+02,4.121241E+02,5.575449E-02,2.889041E-02
03:10:00,8.163637E+02,3.095045E+02,5.261641E-02,2.169465E-02,2.091483E+02,8.682912E+01,1.348095E-02,6.086142E-03,8.650792E+02,4.042606E+02,5.575449E-02,2.833914E-02
03:20:00,8.163637E+02,3.036318E+02,5.261641E-02,2.128300E-02,2.091483E+02,8.497656E+01,1.348095E-02,5.956286E-03,8.650792E+02,3.964690E+02,5.575449E-02,2.779291E-02
