Time,BLOCK1:BEDROOM:WINTER DESIGN DAY IN MODELLO (O1-O4:3O-O9):Des Heat Load [W],BLOCK1:BEDROOM:SUMMER DESIGN DAY IN MODELLO (O1-O4:3O-O9) JUL:Des Sens Cool Load [W],BLOCK1:BEDROOM:WINTER DESIGN DAY IN MODELLO (O1-O4:3O-O9):Des Heat Mass Flow [kg/s],BLOCK1:BEDROOM:SUMMER DESIGN DAY IN MODELLO (O1-O4:3O-O9) JUL:Des Cool Mass Flow [kg/s],BLOCK1:BATHROOM:WINTER DESIGN DAY IN MODELLO (O1-O4:3O-O9):Des Heat Load [W],BLOCK1:BATHROOM:SUMMER DESIGN DAY IN MODELLO (O1-O4:3O-O9) JUL:Des Sens Cool Load [W],BLOCK1:BATHROOM:WINTER DESIGN DAY IN MODELLO (O1-O4:3O-O9):Des Heat Mass Flow [kg/s],BLOCK1:BATHROOM:SUMMER DESIGN DAY IN MODELLO (O1-O4:3O-O9) JUL:Des Cool Mass Flow [kg/s],BLOCK1:KITCHEN:WINTER DESIGN DAY IN MODELLO (O1-O4:3O-O9):Des Heat Load [W],BLOCK1:KITCHEN:SUMMER DESIGN DAY IN MODELLO (O1-O4:3O-O9) AUG:Des Sens Cool Load [W],BLOCK1:KITCHEN:WINTER DESIGN DAY IN MODELLO (O1-O4:3O-O9):Des Heat Mass Flow [kg/s],BLOCK1:KITCHEN:SUMMER DESIGN DAY IN MODELLO (O1-O4:3O-O9) AUG:Des Cool Mass Flow [kg/s]
00:10:00,5.189807E+02,2.824597E+02,3.345003E-02,1.979880E-02,1.326736E+02,8.005438E+01,8.551735E-03,5.611253E-03,5.434875E+02,3.651548E+02,3.502863E-02,2.559748E-02
00:20:00,5.189447E+02,2.748926E+02,3.344771E-02,1.926838E-02,1.326652E+02,7.761906E+01,8.551189E-03,5.440550E-03,5.434495E+02,3.554776E+02,3.502619E-02,2.491909E-02
00:30:00,5.189090E+02,2.675389E+02,3.344541E-02,1.875292E-02,1.326568E+02,7.526467E+01,8.550648E-03,5.275520E-03,5.434119E+02,3.461355E+02,3.502376E-02,2.426419E-02
00:40:00,5.188736E+02,2.603894E+02,3.344313E-02,1.825177E-02,1.326484E+02,7.298784E+01,8.550111E-03,5.115926E-03,5.433745E+02,3.371092E+02,3.502135E-02,2.363142E-02
00:50:00,5.188385E+02,2.534377E+02,3.344087E-02,1.776448E-02,1.326402E+02,7.078533E+01,8.549579E-03,4.961542E-03,5.433374E+02,3.283829E+02,3.501896E-02,2.301967E-02
01:00:00,5.188037E+02,2.466772E+02,3.343862E-02,1.729060E-02,1.326320E+02,6.865407E+01,8.549050E-03,4.812152E-03,5.433006E+02,3.199410E+02,3.501659E-02,2.242787E-02
01:10:00,5.188062E+02,2.401859E+02,3.343879E-02,1.683558E-02,1.326326E+02,6.660972E+01,8.549089E-03,4.668854E-03,5.433032E+02,3.118545E+02,3.501676E-02,2.186097E-02
01:20:00,5.188088E+02,2.339267E+02,3.343895E-02,1.639683E-02,1.326332E+02,6.464285E+01,8.549128E-03,4.530987E-03,5.433059E+02,3.040789E+02,3.501693E-02,2.131588E-02
01:30:00,5.188113E+02,2.278945E+02,3.343911E-02,1.597400E-02,1.326338E+02,6.275097E+01,8.549166E-03,4.398377E-03,5.433085E+02,2.966042E+02,3.501710E-02,2.079187E-02
01:40:00,5.188137E+02,2.220846E+02,3.343927E-02,1.556675E-02,1.326344E+02,6.093174E+01,8.549203E-03,4.270858E-03,5.433111E+02,2.894201E+02,3.501727E-02,2.028824E-02
01:50:00,5.188162E+02,2.164926E+02,3.343943E-02,1.517477E-02,1.326349E+02,5.918297E+01,8.549241E-03,4.148279E-03,5.433137E+02,2.825179E+02,3.501743E-02,1.980437E-02
02:00:00,5.188187E+02,2.111144E+02,3.343959E-02,1.479777E-02,1.326355E+02,5.750261E+01,8.549278E-03,4.030496E-03,5.433163E+02,2.758891E+02,3.501760E-02,1.933968E-02
02:10:00,5.188211E+02,2.058921E+02,3.343974E-02,1.443171E-02,1.326361E+02,5.587665E+01,8.549315E-03,3.916525E-03,5.433188E+02,2.694738E+02,3.501776E-02,1.888994E-02
02:20:00,5.188235E+02,2.008232E+02,3.343990E-02,1.407640E-02,1.326367E+02,5.430330E+01,8.549352E-03,3.806242E-03,5.433214E+02,2.632648E+02,3.501793E-02,1.845467E-02
02:30:00,5.188259E+02,1.959042E+02,3.344005E-02,1.373160E-02,1.326372E+02,5.278084E+01,8.549388E-03,3.699526E-03,5.433239E+02,2.572554E+02,3.501809E-02,1.803339E-02
02:40:00,5.188282E+02,1.911320E+02,3.344020E-02,1.339708E-02,1.326378E+02,5.130767E+01,8.549424E-03,3.596265E-03,5.433264E+02,2.514392E+02,3.501825E-02,1.762565E-02
02:50:00,5.188306E+02,1.865035E+02,3.344036E-02,1.307264E-02,1.326383E+02,4.988230E+01,8.549460E-03,3.496355E-03,5.433288E+02,2.458104E+02,3.501841E-02,1.723105E-02
03:00:00,5.188329E+02,1.820159E+02,3.344051E-02,1.275808E-02,1.326389E+02,4.850333E+01,8.549495E-03,3.399698E-03,5.433313E+02,2.403633E+02,3.501857E-02,1.684920E-02
03:10:00,5.188352E+02,1.776133E+02,3.344065E-02,1.244947E-02,1.326394E+02,4.715762E+01,8.549530E-03,3.305371E-03,5.433337E+02,2.350407E+02,3.501872E-02,1.647607E-02
03:20:00,5.188375E+02,1.732942E+02,3.344080E-02,1.214672E-02,1.326400E+02,4.584388E+01,8.549565E-03,3.213285E-03,5.433361E+02,2.298376E+02,3.501888E-02,1.611131E-02
03:30:00,5.188398E+02,1.690569E+02,3.344095E-02,1.184970E-02,1.326405E+02,4.456095E+01,8.549599E-03,3.123360E-03,5.433385E+02,2.247491E+02,3.501903E-02,1.575459E-02
